date,t1,t2,t1_rating,t2_rating,rating_difference,t1_rating_change,t2_rating_change,t1_win
2015-03-25 02:00:00+01:00,The Flying V,Precision Gaming,1003.0,1003.0,0.0,-3,3,0
2015-03-25 03:00:00+01:00,Fenix Frost,WOOSAH,997.0,997.0,0.0,-3,3,0
2015-03-25 04:00:00+01:00,Area 51 Gaming,HEAT,898.0,993.0,-95.0,2,-3,1
2015-03-26 01:00:00+01:00,Tempo Gaming,Incursion,976.0,1002.0,-26.0,-2,2,0
2015-03-26 02:00:00+01:00,Backfire,Dethrone,993.0,997.0,-4.0,3,-3,1
2015-03-26 20:00:00+01:00,USSR,Divine,897.0,995.0,-98.0,4,-6,1
2015-03-27 02:00:00+01:00,Immersive eSports,Area 51 Gaming,995.0,900.0,95.0,-3,2,0
2015-03-30 04:00:00+02:00,WOOSAH,The Flying V,1000.0,1000.0,0.0,-3,3,0
2015-03-31 02:00:00+02:00,Tempo Gaming,Incursion,974.0,1004.0,-30.0,-5,5,0
2015-03-31 04:30:00+02:00,Area 51 Gaming,Off Constantly,906.0,1004.0,-98.0,4,-6,1
2015-03-31 21:15:00+02:00,GGWP,Divine,967.0,989.0,-22.0,5,-5,1
2015-04-01 00:00:00+02:00,myXMG Female,3DMAX Female,984.0,1049.0,-65.0,-4,4,0
2015-04-01 02:00:00+02:00,Make War Not Love,Fenix Fire,955.0,1007.0,-52.0,-4,4,0
2015-04-01 04:30:00+02:00,Precision Gaming,The Flying V,1006.0,1003.0,3.0,-5,5,0
2015-04-01 18:00:00+02:00,U-BOT,ÜberholverBOT,1000.0,1000.0,0.0,0,0,1
2015-04-01 19:00:00+02:00,Botter Bröt,99DMG-Juniorbots,1000.0,1000.0,0.0,0,0,0
2015-04-01 20:00:00+02:00,99DMG-Juniorbots,U-BOT,1000.0,1000.0,0.0,0,0,1
2015-04-02 02:00:00+02:00,Fenix Fire,The Flying V,1011.0,1008.0,3.0,-5,5,0
2015-04-02 04:30:00+02:00,Area 51 Gaming,Incursion,910.0,1009.0,-99.0,-2,4,0
2015-04-03 02:00:00+02:00,Off Constantly,Tempo Gaming,998.0,969.0,29.0,5,-5,1
2015-04-03 04:30:00+02:00,Make War Not Love,Precision Gaming,951.0,1001.0,-50.0,6,-6,1
2015-04-03 12:00:00+02:00,Atlantis eSports,puta,1000.0,1013.0,-13.0,-10,10,0
2015-04-03 15:30:00+02:00,Games4u.se,FUGL?,988.0,990.0,-2.0,10,-10,1
2015-04-03 15:30:00+02:00,Atlantis eSports,malefiQ,990.0,990.0,0.0,10,-10,1
2015-04-03 15:30:00+02:00,SharkGaming,jQntefabrikkeN,990.0,969.0,21.0,9,-9,1
2015-04-03 15:30:00+02:00,schlaegeros,Team Menace.,995.0,977.0,18.0,-11,11,0
2015-04-03 19:00:00+02:00,puta,Atlantis eSports,1013.0,1000.0,13.0,-10,10,0
2015-04-03 22:30:00+02:00,Temp.no,puta,979.0,1003.0,-24.0,-14,14,0
2015-04-03 22:30:00+02:00,Lemondogs CS,SharkGaming,990.0,989.0,1.0,9,-15,1
2015-04-03 22:30:00+02:00,Team Menace.,Badger,979.0,981.0,-2.0,15,-15,1
2015-04-04 13:00:00+02:00,Ubinited,3DMAX Female,942.0,1053.0,-111.0,10,-10,1
2015-04-04 16:00:00+02:00,Bad Monkey Gaming Female,Team Karma,1048.0,949.0,99.0,-10,10,0
2015-04-04 20:00:00+02:00,3DMAX Female,Bad Monkey Gaming Female,1043.0,1038.0,5.0,7,-7,1
2015-04-04 20:00:00+02:00,Ubinited,Team Karma,952.0,959.0,-7.0,-7,7,0
2015-04-06 02:00:00+02:00,Area 51 Gaming,Make War Not Love,908.0,957.0,-49.0,3,-6,1
2015-04-07 02:00:00+02:00,Area 51 Gaming,Fenix Fire,911.0,1006.0,-95.0,-2,4,0
